8206325,complete ratio: [0.93271462 0.80606061 0.5136612 ], critic loss: 24.239042032571486, actor loss: 1.060442184892257
load ratio std: 0.11668776771716867, task latency mean: 19.802469161156544,complete ratio: [0.928      0.79124579 0.44174757], critic loss: 24.726555182308378, actor loss: -0.26849232873176127
load ratio std: 0.07964115346713571, task latency mean: 21.164895756328036,complete ratio: [0.93533487 0.72164948 0.47540984], critic loss: 24.093423087364048, actor loss: 0.12632999887597726
load ratio std: 0.08641814491441865, task latency mean: 20.647942598148123,complete ratio: [0.90509259 0.77474403 0.46118721], critic loss: 24.190541663402136, actor loss: 3.141085870802468
load ratio std: 0.08606212420517258, task latency mean: 21.893668103254967,complete ratio: [0.93409091 0.76119403 0.44067797], critic loss: 24.586533048251752, actor loss: 5.48053855009509
load ratio std: 0.20381742356604368, task latency mean: 21.067012962142194,complete ratio: [0.91086957 0.69798658 0.46391753], critic loss: 25.361600573967177, actor loss: 3.9757242561224935
load ratio std: 0.08140814517843621, task latency mean: 20.69857322777058,complete ratio: [0.95402299 0.84121622 0.41414141], critic loss: 24.685659102470964, actor loss: 5.903135947961597
load ratio std: 0.08189181672922519, task latency mean: 20.960717012604302,complete ratio: [0.93160377 0.72483221 0.445     ], critic loss: 24.57710728986416, actor loss: 4.755965413839827
load ratio std: 0.08351997280673203, task latency mean: 20.65898753158128,complete ratio: [0.93932584 0.77564103 0.49009901], critic loss: 24.455132667561294, actor loss: 3.429837284918584
load ratio std: 0.08139175819436456, task latency mean: 19.953242063832615,complete ratio: [0.90792291 0.71290323 0.57416268], critic loss: 22.882146007626343, actor loss: 3.4989165370647997
load ratio std: 0.0823964268938605, task latency mean: 20.10476235784782,complete ratio: [0.94517544 0.81886792 0.51612903], critic loss: 24.593210920215718, actor loss: 5.111508469667336
load ratio std: 0.08535621729636367, task latency mean: 18.415345663420148,complete ratio: [0.98933902 0.67938931 0.53551913], critic loss: 24.16317038970638, actor loss: 0.8798624606751387
load ratio std: 0.08601750975070432, task latency mean: 19.467081253124938,complete ratio: [0.92195122 0.7562724  0.40437158], critic loss: 25.275355180829262, actor loss: 2.1064453448584377
